"","Active","IDLoc","ID","MS","IDS","LocS","Total1","Total2","D1","D2","D3","D4","D5","Risk"
"96",1,20,"g",0,1,0,1,0,1,1,1,0,"a",1
"97",0,50,"g",0,1,0,2,2,0,0,0,0,"b",1
"98",0,2,"g",0,1,0,1,1,0,0,0,0,"b",1
"99",0,6,"g",0,0,1,1,2,0,0,0,0,"b",1
"100",1,25,"g",0,1,0,2,2,1,0,0,0,"b",1
"101",1,17,"c",0,1,0,1,1,0,0,0,0,"b",1
"102",1,51,"g",0,1,0,2,3,0,0,0,0,"b",1
"103",1,42,"g",0,1,0,4,1,0,0,0,0,"b",1
"104",0,6,"g",0,0,0,2,1,0,0,0,0,"b",1
"105",1,20,"g",0,1,0,2,3,0,0,0,0,"b",1
"106",1,51,"d",0,1,0,1,2,1,0,0,0,"b",1
"107",1,30,"g",0,1,0,2,3,1,0,0,0,"b",1
"108",0,6,"l",0,0,0,2,4,1,1,1,1,"b",3
"109",1,44,"g",0,1,0,3,1,0,0,0,0,"b",1
